WA-0001	Ghana	Madina	WGS_PL1	A1	VBS19051	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	1	4	ERS3041273	ERR3331712
WA-0001	Ghana	Madina	WGS_PL1	A1	VBS19051	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	2	4	ERS3041273	ERR3331736
WA-0001	Ghana	Madina	WGS_PL1	A1	VBS19051	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	3	4	ERS3041273	ERR3331760
WA-0002	Ghana	Madina	WGS_PL1	B1	VBS19052	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	1	10	ERS3041274	ERR3331718
WA-0002	Ghana	Madina	WGS_PL1	B1	VBS19052	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	2	10	ERS3041274	ERR3331742
WA-0002	Ghana	Madina	WGS_PL1	B1	VBS19052	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	3	10	ERS3041274	ERR3331766
WA-0003	Ghana	Madina	WGS_PL1	C1	VBS19053	11/01/2017	1244:VO-GH-YAWSON	WGS	29052	3	33	ERS3041275	ERR3290363
WA-0003	Ghana	Madina	WGS_PL1	C1	VBS19053	11/01/2017	1244:VO-GH-YAWSON	WGS	29052	4	33	ERS3041275	ERR3290399
WA-0003	Ghana	Madina	WGS_PL1	C1	VBS19053	11/01/2017	1244:VO-GH-YAWSON	WGS	29052	5	33	ERS3041275	ERR3290435
WA-0004	Ghana	Madina	WGS_PL1	D1	VBS19054	11/01/2017	1244:VO-GH-YAWSON	WGS	29105	5	22	ERS3041276	ERR3311827
WA-0004	Ghana	Madina	WGS_PL1	D1	VBS19054	11/01/2017	1244:VO-GH-YAWSON	WGS	29105	6	22	ERS3041276	ERR3311863
WA-0004	Ghana	Madina	WGS_PL1	D1	VBS19054	11/01/2017	1244:VO-GH-YAWSON	WGS	29105	7	22	ERS3041276	ERR3311899
WA-0005	Ghana	Madina	WGS_PL1	E1	VBS19055	11/01/2017	1244:VO-GH-YAWSON	WGS	29335	2	24	ERS3041277	ERR3331519
WA-0005	Ghana	Madina	WGS_PL1	E1	VBS19055	11/01/2017	1244:VO-GH-YAWSON	WGS	29335	3	24	ERS3041277	ERR3331555
WA-0005	Ghana	Madina	WGS_PL1	E1	VBS19055	11/01/2017	1244:VO-GH-YAWSON	WGS	29335	4	24	ERS3041277	ERR3331591
WA-0006	Ghana	Madina	WGS_PL1	F1	VBS19056	11/01/2017	1244:VO-GH-YAWSON	WGS	29050	5	33	ERS3041278	ERR3289895
WA-0006	Ghana	Madina	WGS_PL1	F1	VBS19056	11/01/2017	1244:VO-GH-YAWSON	WGS	29050	6	33	ERS3041278	ERR3289931
WA-0006	Ghana	Madina	WGS_PL1	F1	VBS19056	11/01/2017	1244:VO-GH-YAWSON	WGS	29050	7	33	ERS3041278	ERR3289967
WA-0007	Ghana	Madina	WGS_PL1	G1	VBS19057	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	1	11	ERS3041279	ERR3331719
WA-0007	Ghana	Madina	WGS_PL1	G1	VBS19057	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	2	11	ERS3041279	ERR3331743
WA-0007	Ghana	Madina	WGS_PL1	G1	VBS19057	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	3	11	ERS3041279	ERR3331767
WA-0008	Ghana	Madina	WGS_PL1	H1	VBS19058	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	1	20	ERS3041280	ERR3331728
WA-0008	Ghana	Madina	WGS_PL1	H1	VBS19058	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	2	20	ERS3041280	ERR3331752
WA-0008	Ghana	Madina	WGS_PL1	H1	VBS19058	11/01/2017	1244:VO-GH-YAWSON	WGS	29336	3	20	ERS3041280	ERR3331776
WA-0009	Ghana	Madina	WGS_PL1	A2	VBS19059	11/01/2017	1244:VO-GH-YAWSON	WGS	29335	2	30	ERS3041281	ERR3331525
