sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS20387-5567STDY7801192,0.036,0.002,gamb_colu,gambiae
VBS20388-5567STDY7801193,0.098,0.002,gamb_colu,gambiae
VBS20390-5567STDY7801194,0.022,0.002,gamb_colu,gambiae
VBS20391-5567STDY7801195,0.209,0.002,gamb_colu,intermediate
VBS20394-5567STDY7801197,0.028,0.002,gamb_colu,gambiae
VBS20396-5567STDY7801199,0.059,0.002,gamb_colu,gambiae
VBS20397-5567STDY7801200,0.021,0.002,gamb_colu,gambiae
VBS20398-5567STDY7801201,0.041,0.002,gamb_colu,gambiae
VBS20399-5567STDY7801202,0.029,0.002,gamb_colu,gambiae
VBS20400-5567STDY7801203,0.029,0.002,gamb_colu,gambiae
VBS20401-5567STDY7801204,0.013,0.002,gamb_colu,gambiae
VBS20402-5567STDY7801205,0.026,0.002,gamb_colu,gambiae
VBS20403-5567STDY7801206,0.016,0.002,gamb_colu,gambiae
VBS20404-5567STDY7801207,0.030,0.002,gamb_colu,gambiae
VBS20405-5567STDY7801208,0.023,0.002,gamb_colu,gambiae
VBS20406-5567STDY7801209,0.023,0.002,gamb_colu,gambiae
VBS20407-5567STDY7801210,0.022,0.002,gamb_colu,gambiae
VBS20410-5567STDY7801213,0.030,0.002,gamb_colu,gambiae
VBS20412-5567STDY7801214,0.021,0.002,gamb_colu,gambiae
VBS20413-5567STDY7801215,0.026,0.002,gamb_colu,gambiae
VBS20414-5567STDY7801216,0.054,0.002,gamb_colu,gambiae
VBS20415-5567STDY7801217,0.024,0.002,gamb_colu,gambiae
VBS20416-5567STDY7801218,0.060,0.002,gamb_colu,gambiae
VBS20417-5567STDY7801219,0.032,0.002,gamb_colu,gambiae
VBS20418-5567STDY7801220,0.061,0.002,gamb_colu,gambiae
VBS20419-5567STDY7801221,0.025,0.002,gamb_colu,gambiae
VBS20420-5567STDY7801222,0.029,0.002,gamb_colu,gambiae
VBS20421-5567STDY7801223,0.023,0.002,gamb_colu,gambiae
VBS20422-5567STDY7801224,0.025,0.002,gamb_colu,gambiae
VBS20425-5567STDY7801227,0.025,0.002,gamb_colu,gambiae
VBS20426-5567STDY7801228,0.021,0.002,gamb_colu,gambiae
VBS20428-5567STDY7801230,0.023,0.002,gamb_colu,gambiae
VBS20429-5567STDY7801231,0.017,0.002,gamb_colu,gambiae
VBS20430-5567STDY7801232,0.028,0.002,gamb_colu,gambiae
VBS20433-5567STDY7801235,0.033,0.002,gamb_colu,gambiae
VBS20436-5567STDY7801237,0.015,0.002,gamb_colu,gambiae
VBS20437-5567STDY7801238,0.033,0.002,gamb_colu,gambiae
VBS20438-5567STDY7801239,0.022,0.002,gamb_colu,gambiae
