sample_name	phenotype
WA-1044	dead
WA-1045	dead
WA-1046	dead
WA-1047	dead
WA-1048	dead
WA-1050	dead
WA-1054	dead
WA-1055	dead
WA-1056	dead
WA-1057	dead
WA-1058	dead
WA-1060	dead
WA-1061	dead
WA-1063	dead
WA-1064	dead
WA-1065	dead
WA-1066	dead
WA-1067	dead
WA-1069	dead
WA-1070	dead
WA-1071	dead
WA-1072	dead
WA-1073	dead
WA-1075	dead
WA-1076	dead
WA-1077	dead
WA-1078	dead
WA-1079	dead
WA-1080	dead
WA-1082	dead
WA-1084	dead
WA-1086	dead
WA-1087	dead
WA-1088	dead
WA-1090	alive
WA-1091	alive
WA-1093	alive
WA-1094	alive
WA-1095	alive
WA-1097	alive
WA-1099	alive
WA-1100	alive
WA-1102	alive
WA-1103	alive
WA-1104	alive
WA-1105	alive
WA-1106	alive
WA-1107	alive
WA-1110	alive
WA-1112	alive
WA-1113	alive
WA-1114	alive
WA-1115	alive
WA-1116	alive
WA-1117	alive
WA-1118	alive
WA-1119	alive
WA-1120	alive
WA-1121	alive
WA-1122	alive
WA-1123	alive
WA-1124	alive
WA-1125	alive
WA-1126	alive
WA-1129	alive
WA-1130	alive
WA-1132	alive
WA-1133	alive
WA-1134	alive
WA-1136	alive
WA-1137	alive
WA-1138	alive
WA-1139	alive
WA-1140	alive
WA-1141	alive
WA-1142	alive
WA-1143	alive
WA-1144	alive
WA-1145	alive
